Accepted or not,timestamp,IP_SRC,IP_DST,PORT_SRC,PORT_DST
A,Fri May 17 15:27:28 2024,10.10.6.40,10.10.6.41,56034,5240
A,Fri May 17 15:27:32 2024,10.10.6.42,10.10.6.40,44388,5242
A,Fri May 17 15:27:32 2024,10.10.6.41,10.10.6.42,52632,5241
A,Fri May 17 15:27:34 2024,10.10.6.40,10.10.6.42,51234,5240
A,Fri May 17 15:27:35 2024,10.10.6.41,10.10.6.40,36252,5241
A,Fri May 17 15:27:37 2024,10.10.6.41,10.10.6.42,52636,5241
A,Fri May 17 15:27:44 2024,10.10.6.42,10.10.6.41,57646,5242
A,Fri May 17 15:27:47 2024,10.10.6.40,10.10.6.41,56038,5240
A,Fri May 17 15:27:47 2024,10.10.6.40,10.10.6.42,51238,5240
A,Fri May 17 15:27:48 2024,10.10.6.41,10.10.6.42,52638,5241
A,Fri May 17 15:27:48 2024,10.10.6.41,10.10.6.40,36258,5241
A,Fri May 17 15:27:53 2024,10.10.6.42,10.10.6.40,44392,5242
A,Fri May 17 15:27:56 2024,10.10.6.40,10.10.6.42,51240,5240
A,Fri May 17 15:27:59 2024,10.10.6.42,10.10.6.41,57650,5242
A,Fri May 17 15:27:59 2024,10.10.6.40,10.10.6.41,56044,5240
A,Fri May 17 15:28:02 2024,10.10.6.41,10.10.6.42,52642,5241
A,Fri May 17 15:28:03 2024,10.10.6.42,10.10.6.41,57652,5242
A,Fri May 17 15:28:04 2024,10.10.6.42,10.10.6.40,44398,5242
A,Fri May 17 15:28:08 2024,10.10.6.41,10.10.6.40,36262,5241
A,Fri May 17 15:28:13 2024,10.10.6.40,10.10.6.42,51244,5240
A,Fri May 17 15:28:15 2024,10.10.6.40,10.10.6.42,51244,5240
A,Fri May 17 15:28:16 2024,10.10.6.42,10.10.6.41,57656,5242
A,Fri May 17 15:28:17 2024,10.10.6.40,10.10.6.42,51244,5240
A,Fri May 17 15:28:21 2024,10.10.6.40,10.10.6.41,56048,5240
A,Fri May 17 15:28:24 2024,10.10.6.40,10.10.6.42,51248,5240
A,Fri May 17 15:28:24 2024,10.10.6.42,10.10.6.40,44402,5242
X,Fri May 17 15:28:24 2024,10.10.6.41,10.10.6.42,52648,5241
A,Fri May 17 15:28:25 2024,10.10.6.41,10.10.6.40,36264,5241
A,Fri May 17 15:28:28 2024,10.10.6.40,10.10.6.41,56052,5240
A,Fri May 17 15:28:30 2024,10.10.6.40,10.10.6.41,56052,5240
A,Fri May 17 15:28:32 2024,10.10.6.40,10.10.6.41,56052,5240
X,Fri May 17 15:28:33 2024,10.10.6.42,10.10.6.41,57660,5242
A,Fri May 17 15:28:34 2024,10.10.6.41,10.10.6.42,52650,5241
X,Fri May 17 15:28:37 2024,10.10.6.42,10.10.6.41,57662,5242
X,Fri May 17 15:28:40 2024,10.10.6.42,10.10.6.41,57664,5242
A,Fri May 17 15:28:44 2024,10.10.6.42,10.10.6.40,44410,5242
A,Fri May 17 15:28:44 2024,10.10.6.41,10.10.6.42,52652,5241
A,Fri May 17 15:28:45 2024,10.10.6.41,10.10.6.42,52652,5241
A,Fri May 17 15:28:46 2024,10.10.6.42,10.10.6.41,57668,5242
A,Fri May 17 15:28:47 2024,10.10.6.41,10.10.6.40,36272,5241
X,Fri May 17 15:28:47 2024,10.10.6.40,10.10.6.41,56056,5240
A,Fri May 17 15:28:48 2024,10.10.6.41,10.10.6.40,36272,5241
A,Fri May 17 15:28:48 2024,10.10.6.41,10.10.6.42,52652,5241
X,Fri May 17 15:28:48 2024,10.10.6.40,10.10.6.41,56056,5240
X,Fri May 17 15:28:50 2024,10.10.6.41,10.10.6.40,36272,5241
X,Fri May 17 15:28:52 2024,10.10.6.41,10.10.6.42,52652,5241
X,Fri May 17 15:28:53 2024,10.10.6.40,10.10.6.42,51256,5240
X,Fri May 17 15:28:54 2024,10.10.6.41,10.10.6.40,36274,5241
X,Fri May 17 15:28:54 2024,10.10.6.40,10.10.6.41,56060,5240
X,Fri May 17 15:28:55 2024,10.10.6.40,10.10.6.41,56060,5240
X,Fri May 17 15:28:55 2024,10.10.6.40,10.10.6.42,51256,5240
X,Fri May 17 15:28:56 2024,10.10.6.42,10.10.6.41,57670,5242
X,Fri May 17 15:28:57 2024,10.10.6.42,10.10.6.40,44416,5242
X,Fri May 17 15:28:59 2024,10.10.6.40,10.10.6.42,51256,5240
A,Fri May 17 15:29:00 2024,10.10.6.42,10.10.6.40,44418,5242
X,Fri May 17 15:29:01 2024,10.10.6.42,10.10.6.41,57676,5242
X,Fri May 17 15:29:01 2024,10.10.6.41,10.10.6.40,36276,5241
X,Fri May 17 15:29:02 2024,10.10.6.41,10.10.6.40,36276,5241
X,Fri May 17 15:29:03 2024,10.10.6.40,10.10.6.41,56062,5240
